,aroon_Aroon Down,aroon_Aroon Up,bbands_close_Real Lower Band,bbands_close_Real Middle Band,bbands_close_Real Upper Band,cci_CCI,macd_close_MACD_Hist,obv_OBV,rsi_close_RSI,sma_close_100_SMA,sma_close_20_SMA,stoch_SlowD,stock_time_series_adjusted_adjusted_close,crudeoil_Open,dollar_Open,fedfund_Open,gold_Open,treasury_3 MO,treasury_10 YR
2012-12-20,8.0,96.0,64.0167,65.234,66.4513,115.771,0.1621,-3059916.0,63.50100000000001,65.0864,65.234,73.3469,114.726,91.68,79.43,99.83,1667.9,0.06,1.81
2012-12-19,12.0,100.0,63.8853,65.1045,66.3237,135.731,0.1556,-6784258.0,60.3172,65.0565,65.1045,59.026,114.0182,91.53,79.38,99.835,1671.7,0.05,1.82
2012-12-18,16.0,100.0,63.7112,64.9885,66.2658,190.3611,0.1703,-3739823.0,66.7818,65.0187,64.9885,45.5588,114.8641,90.4,79.62,99.845,1699.1,0.06,1.84
2012-12-17,20.0,88.0,63.6528,64.8445,66.0362,110.483,0.1266,-5344777.0,61.5495,64.96600000000001,64.8445,45.855,113.7075,90.21,79.66,99.86,1698.4,0.05,1.78
2012-12-14,24.0,92.0,63.15600000000001,64.6705,66.185,15.1682,0.112,-6259063.0,53.6587,64.9204,64.6705,58.9715,112.361,89.68,80.045,99.855,1699.6,0.04,1.72
2012-12-13,28.0,96.0,62.6434,64.5195,66.3956,84.2698,0.1569,-5627011.0,56.5606,64.8875,64.5195,74.0732,112.7236,89.7,79.995,99.86,1712.8,0.06,1.74
2012-12-12,32.0,100.0,62.3,64.37,66.44,176.1723,0.1925,-4917478.0,62.5428,64.8587,64.37,79.3257,113.4141,89.82,80.19,99.86,1712.0,0.07,1.72
2012-12-11,36.0,100.0,62.1908,64.23899999999999,66.2872,172.4555,0.1914,-5624653.0,62.0772,64.8317,64.23899999999999,74.0342,113.3277,88.88,80.47,99.86,1713.9,0.08,1.66
2012-12-10,40.0,0.0,62.1434,64.122,66.1006,107.6645,0.1785,-6798549.0,58.006,64.8036,64.122,64.8124,112.6027,89.57,80.75,99.86,1705.4,0.09,1.63
2012-12-07,44.0,4.0,62.0743,64.0215,65.9687,101.0989,0.1863,-7261970.0,57.6035,64.7752,64.0215,57.7288,112.5337,89.91,80.425,99.85,1701.3,0.09,1.64
2012-12-06,48.0,8.0,62.0145,63.9195,65.8245,67.6431,0.1882,-7852630.0,55.629,64.7428,63.9195,59.5464,112.1884,91.29,80.095,99.86,1695.7,0.1,1.59
2012-12-05,52.0,12.0,62.0285,63.87,65.7115,54.0712,0.1976,-8092398.0,53.6233,64.7138,63.87,67.3709,111.8432,91.75,79.825,99.85,1697.7,0.1,1.6
2012-12-04,56.0,16.0,61.9773,63.902,65.8267,58.9843,0.2188,-8606220.0,52.2194,64.6764,63.902,78.9075,111.6015,91.21,80.05,99.84,1717.7,0.1,1.62
2012-12-03,60.0,20.0,61.9647,63.917,65.8693,88.8782,0.2519,-8118839.0,53.5086,64.6436,63.917,84.7501,111.8086,92.61,80.345,99.845,1715.5,0.1,1.63
2012-11-30,64.0,24.0,61.9635,63.9185,65.8735,109.0005,0.2752,-7305034.0,55.9678,64.6095,63.9185,87.7423,112.2057,90.96,80.365,99.845,1728.3,0.08,1.62
2012-11-29,68.0,28.0,61.9331,63.938,65.9429,133.1694,0.2709,-6530266.0,56.5979,64.5788,63.938,86.9567,112.3093,90.58,80.52,99.84,1722.4,0.09,1.62
2012-11-28,72.0,0.0,61.9514,63.9165,65.8816,100.4813,0.2412,-7116615.0,54.2882,64.5483,63.9165,90.6151,111.8086,89.83,80.625,99.84,1743.9,0.1,1.63
2012-11-27,76.0,0.0,61.95399999999999,63.9125,65.87100000000001,105.5129,0.2099,-7623236.0,50.2164,64.5265,63.9125,94.1285,110.9801,91.4,80.275,99.825,1752.1,0.1,1.64
2012-11-26,80.0,4.0,61.9496,63.935,65.9204,92.1396,0.199,-7033418.0,53.0503,64.5122,63.935,97.3612,111.5152,91.2,80.4,99.83,1754.7,0.1,1.66
2012-11-23,84.0,8.0,61.9502,63.933,65.9158,89.3212,0.142,-6239897.0,53.7775,64.4907,63.933,90.3337,111.6533,90.78,80.915,99.83,1730.8,0.1,1.7
2012-11-21,88.0,12.0,61.9496,63.934,65.9184,15.9979,0.0401,-6605215.0,46.9387,64.4667,63.934,73.2932,110.255,90.75,81.19,99.85,1730.1,0.1,1.69
2012-11-20,92.0,16.0,61.902,64.0235,66.145,-10.8673,-0.0335,-6892872.0,45.6481,64.4357,64.0235,46.9233,110.0134,91.61,81.19,99.855,1734.0,0.08,1.66
2012-11-19,96.0,20.0,61.8915,64.118,66.3445,-22.9126,-0.124,-7630304.0,45.0273,64.4075,64.118,25.0602,109.8925,90.45,81.475,99.855,1716.9,0.09,1.61
